company_name,registered,company_age,valid_address,domain_age,listed_in_gov_db,has_audited_reports,is_fraud
Dunlap PLC,1,18,0,15,0,1,0
"Heath, Wood and Lyons",1,0,1,16,1,0,1
Taylor PLC,0,4,1,7,1,0,1
Serrano-Williams,1,31,0,6,0,1,1
Tucker-Cobb,1,6,1,20,1,1,0
"Leonard, Chavez and Patrick",1,48,1,9,1,1,1
"Lawrence, Sparks and Garrison",1,48,1,0,0,1,0
Crawford-Warren,1,28,1,11,1,0,0
Pierce-Salazar,1,19,1,2,1,1,0
Lyons-Hernandez,1,49,1,10,1,1,0
Williams-Jordan,0,31,1,10,1,0,1
Johnson Inc,0,6,1,4,0,0,0
King and Sons,1,43,1,20,0,1,0
"Sullivan, Glass and Barr",1,33,0,8,1,1,1
"Anderson, Garcia and Bond",1,45,1,13,0,1,0
Malone LLC,1,32,0,9,0,0,1
Dunlap PLC,1,18,0,15,0,1,0
Bradley LLC,1,47,1,10,1,1,1
Kelly-Martinez,1,29,1,9,1,1,1
Spencer Ltd,0,33,1,5,0,0,1
Weber Group,0,30,1,5,0,0,1
Collins-Eaton,0,35,0,9,1,0,1
Frazier-Rodriguez,0,31,1,11,1,0,1
Lewis PLC,1,31,1,16,1,0,1
Smith-Miles,1,42,0,13,0,1,0
"Lewis, Keller and Wilson",0,11,1,7,1,1,1
"Watson, Lambert and Vargas",1,5,1,11,0,1,1
Moore-Mckinney,0,41,0,1,1,1,0
Martin-Ramsey,0,43,1,3,1,0,1
"Santiago, Burgess and Wright",0,48,1,3,0,1,1
Gould Group,0,49,1,20,1,1,1
Cohen-Turner,1,29,0,15,1,1,1
Wilson-Long,1,42,1,9,0,1,0
Gonzalez Inc,1,22,1,6,1,1,0
Gill-Cameron,1,45,1,9,0,0,1
Thompson-Arnold,0,26,1,3,1,1,1
Walker Ltd,1,28,1,13,1,1,0
Ross-Dawson,1,44,0,11,1,0,1
Tate PLC,1,20,0,8,1,1,0
Armstrong-Morton,1,2,1,5,1,1,0
"Anderson, Adams and Pham",1,19,1,9,0,1,1
Perry Inc,0,6,1,5,1,0,1
"Woods, Drake and Grimes",1,40,0,15,1,1,1
Frazier-Jones,0,31,1,12,0,1,1
Brooks Ltd,1,48,1,13,1,1,0
"Davidson, Marshall and Jones",0,20,1,20,0,0,1
"Thompson, Garcia and Garcia",1,24,0,1,0,0,1
Bell Inc,0,39,0,2,1,1,1
"Green, Lindsey and Nunez",0,18,1,20,1,1,0
Perkins and Sons,1,15,0,20,1,0,1
"Moss, Gonzalez and Williams",1,36,1,13,0,0,0
Weaver Group,1,7,0,18,0,1,1
Adams-Smith,0,24,1,4,1,1,1
Hicks-Cooper,1,31,0,14,0,0,1
Perry Inc,1,28,1,4,1,0,0
Bennett-Rivera,0,8,1,5,1,1,1
Robinson-Gonzalez,1,16,0,17,1,0,0
"Hammond, Carroll and Johnson",0,14,1,9,0,1,1
Scott-Jackson,1,6,0,9,0,0,1
Grant-Simpson,0,18,0,1,1,1,1
"Acosta, Nelson and Lane",1,25,1,8,0,0,1
"Bishop, Gonzalez and Larson",0,29,1,19,1,0,0
Jimenez LLC,1,50,1,2,0,1,1
Mcdaniel-Mcfarland,0,42,0,3,1,1,0
Haynes-Franklin,0,15,0,14,1,1,1
Hernandez Ltd,1,33,1,13,1,0,0
"Bryan, Farmer and Moore",0,18,1,16,0,1,1
Simmons PLC,1,11,0,1,1,1,0
Mason Inc,1,12,1,11,1,0,0
"Lynch, Smith and Maddox",0,30,1,10,0,1,0
Williams-Taylor,0,30,0,4,0,1,1
"Dennis, Castillo and Mahoney",0,39,0,10,0,1,1
"Madden, Zimmerman and Turner",1,19,1,2,0,1,0
"Smith, Gonzalez and Murphy",1,2,1,3,1,1,0
Baldwin-Clark,1,2,1,5,1,0,0
Murphy-Coleman,1,36,0,8,1,1,1
Harper Group,1,34,1,3,0,0,1
Webster Group,0,18,1,8,1,1,0
Li-Adams,0,29,1,8,1,1,1
Oconnor-Mayer,0,16,0,11,1,1,1
Powell-Marks,0,22,1,11,0,1,1
Anderson-Harris,0,8,0,4,1,0,1
Miller-Smith,1,38,1,16,0,1,0
Moore and Sons,1,28,0,20,1,1,0
"Luna, Simpson and Zavala",1,10,1,17,0,0,1
"Fleming, Ortiz and Jensen",1,22,0,18,1,1,1
Logan-Martinez,0,50,1,0,1,1,0
Rowland LLC,0,49,0,9,1,1,1
